FID,ogc_fid,company,address,city,state,zip_code,feedstock,capacity (Mgal),,
ethanol_plants_201904.75,75,"Granite Falls Energy, LLC",15045 Hwy 23 SE,Granite Falls,MN,56241,Corn,62,,
ethanol_plants_201904.80,80,Green Plains Inc.,1005 N Bixby Rd,Fairmont,MN,56031,Corn,119,,
ethanol_plants_201904.81,81,Green Plains Inc.,24096 170th Avenue,Fergus Falls,MN,56537,Corn,55,,
ethanol_plants_201904.92,92,"Guardian Energy, LLC",4745 380th Avenue,"Janesville, MN",MN,56048,Corn,110,,
ethanol_plants_201904.95,95,Heartland Corn Products,53331 State Hwy 19,Winthrop,MN,55396,Corn,100,,
ethanol_plants_201904.96,96,"Heron Lake BioEnergy, LLC",91246 390th Avenue,Heron Lake,MN,56137,Corn,64,,
ethanol_plants_201904.97,97,Highwater  Ethanol,24500 U.S. Highway 14,Lamberton,MN,56152,Corn,59,,
ethanol_plants_201904.105,105,Land O' Lakes,1000 E. Kraft Drive,Melrose,MN,56352,Cheese Whey,3,,
ethanol_plants_201904.142,142,POET Biorefining - Bingham Lake,40212 510th Avenue,Bingham Lake,MN,56118,Corn,35,,
ethanol_plants_201904.150,150,POET Biorefining - Glenville (Agra Resources),15300 780th Avenue,Albert Lea,MN,56007,Corn,42,,
ethanol_plants_201904.157,157,POET Biorefining - Lake Crystal,19200 499th Avenue,Lake Crystal,MN,56055,Corn,56,,
ethanol_plants_201904.164,164,POET Biorefining - Preston,701 N. Industrial Drive,Preston,MN,55965,Corn,46,,
ethanol_plants_201904.205,205,Valero Renewable Fuels,1444 120th Street,Welcome,MN,56181,Corn,135,,
ethanol_plants_201904.72,72,"Golden Triangle Energy, LLC",15053 Hwy 111,Craig,MO,64437,Corn,20,,
ethanol_plants_201904.106,106,"LifeLine Foods, LLC",2811 S. 11th Street,St. Joseph,MO,64503,Corn,50,,
ethanol_plants_201904.118,118,"Mid-Missouri Energy, Inc.",15311 N. Saline 65 Hwy,Malta Bend,MO,65339,Corn,50,,
ethanol_plants_201904.156,156,POET Biorefining - Laddonia,809 North Pine,Laddonia,MO,63352,Corn,50,,
ethanol_plants_201904.159,159,POET Biorefining - Macon,30211 Major Drive,Macon,MO,63552,Corn,46,,
